place,longitude,latitude
New Gauri Nagar,75.86023092,22.75892834
Maruti Nagar Chauraha,75.8759594,22.75516876
apricraft systems,75.86532712,22.75411012
Electronics Complex,75.86626053,22.75416948
Magdoot Upvan garder,75.88647366,22.75113204
ITI Collage,75.87171078,22.75245784
Pradeep Bhavan,75.87689281,22.75229953
Maruti Nagar,75.87440372,22.75422885
Karasdev Nagar,75.87535858,22.75419916
Kabir khedi,75.87340593,22.75692984
Prime City,75.87413549,22.75703867
Adrash Molike Nagar,75.87482214,22.75787962
A Darash Moulik,75.87801933,22.75737505
P Dindayal Upadhyay nagar,75.87593794,22.7569892
Nyay Nagar,75.87890983,22.75936365
Jay Ambe Nagar,75.87678552,22.76244048
Sundar  Nagar,75.87371707,22.7610851
P T deenDayal Nagar,75.87500453,22.76398382
Parag Nagar,75.87433934,22.76436965
Atal Bihari Vajpeeye Stadium,75.89442372,22.76439933
Anurag Nagar society,75.90260983,22.76470602
satya Sai Nagar,75.90399384,22.76410254
Amrat Palace Sector B,75.92874527,22.76335066
Ashirvad vila,75.93004346,22.7613819
sakar City Bunglow,75.9350431,22.75859196
Hare Krishna vihar colony,75.93315482,22.75308116
Hare Krishna vihar,75.92752218,22.75518854
Chementry Khajarana,75.92545152,22.75090448
Lig corner,75.92167497,22.7539815
tulsi Nagar Avenue,75.91980815,22.75627685
Suncity Society,75.91641784,22.75474332
Radhika Palace Colony,75.91774821,22.75246773
Shri Krupa Colony,75.91853142,22.75049882
Shri Kripa Colony,75.9113431,22.75087479
Shanti Kunj,75.9043479,22.7512013
Classic Purnima park,75.9051311,22.75094405
Bomabay Hospital,75.90405822,22.75403097
MahaLaxmi nagar Sector A,75.90858579,22.75555461
Scheme No. 94,75.90558171,22.75535674
Gujarati Professional Institute,75.90190172,22.75495109
Maa Ambika Nagar,75.90007782,22.75464439
Soda Ni Diagonostic Clinic,75.89656949,22.75645494
Anupam Nagar,75.89023948,22.75385288
softvision collage,75.88555098,22.75433768
Scheme No. AK 54,75.88567972,22.75518854
computer science Corporation,75.86521983,22.75290307
shyam Nagar,75.86619616,22.75222038
ashtvinayak Enterprises,75.84591866,22.75387267
surendra Nagar,75.83237886,22.75347691
Ekta Nagar,75.83348393,22.7525172
Tigariya Badshah,75.83065152,22.75162674
banganga colony,75.84518909,22.74742172
readymade garments complex,75.86461902,22.75012284
Pardesipura,75.87161422,22.74792633
Clerk Colony,75.87240815,22.74805495
ESI hospital,75.87806225,22.74894543
Adrash Mechanic Nagar,75.8900249,22.74642239
Barli Developement Institude,75.89164495,22.74653122
Bhagirath and  bors,75.89500308,22.74623439
Mangal CT IT park,75.8970201,22.75262603
A B Road Scheme no. 54,75.8944881,22.75250731
Bhandari Hospital,75.88923097,22.75277444
Magdoot Upvan chowk,75.88790059,22.75271508
Govind Ram Se ksa ria Institute of Man,75.88144183,22.75283381
Sayaji Circle,75.89061499,22.75208187
vijay Nagar Chowrah,75.89610815,22.7513695
Ganga Devi Nagar,75.90027094,22.7506967
Bhagya shri Colony,75.89862943,22.75250731
Suman Nagar,75.90046406,22.75314052
Sector 53,75.90189099,22.74974686
Jay Ambe baug colony,75.90293169,22.74893554
tapeswari Baug colony,75.90783477,22.74869808
Khajrana,75.91855288,22.74715457
Semalya Chau,76.00298882,22.75536663
Kanadiya,75.99843979,22.73929823
Begam Khedi,75.99337578,22.73906075
Dakachya,75.95809937,22.85577106
Indore Sub-district,76.0295105,22.68894362
Khudel Buzarg,76.01955414,22.68577605
Bicholi Mardana,22.68577605,22.70177156
Rahul Nagar,75.93200684,22.70050465
Dewas Nak Industrial Area,75.90110779,22.78441161
NiranjanPur,75.89853287,22.78255196
SR Compound Industrial Are,75.91342449,22.78975299
Maya Khedi,75.93513966,22.7947381
NiranjanPur village,75.89149475,22.77618151
Sai Kripa colony,75.9120512,22.75121119
Sher Sha Suri Nagar,75.92488289,22.74270204
Haji Colony,75.91754436,22.74084183
Soharab Colony,75.91213703,22.73937739
ashtvinayak colony,75.90432644,22.73795252
Rajeev Nagar,75.91325283,22.73629014
Royal Palace,75.92694283,75.92694283
Ashraff Nagar,75.91599941,22.73070917
Diamond place Colony,75.92466831,22.72754256
Manavta Nagar,75.93256474,22.72267376
Manyata Nagar,75.93063354,22.71958613
Bicholi hapsi,75.93947411,22.71701306
Bijli Nagar,75.91827393,22.7166172
Goyal Nagar,75.90604305,22.71780478
GanaNayak Nagar,75.91029167,22.72453422
Ganraj Nagar,75.9084034,22.72813631
Chandra Nagar,75.89608669,22.73747755
Shree Nagar Extension,75.8975029,22.73371738
Ambe Chowk,75.88655949,22.73482565
Patni Pura,75.88235378,22.73652763
Vikash Nagar,75.88364124,22.73252994
Silver park,75.88106632,22.72766131
Yashwant Club,75.87703228,22.72362378
Usha Raj Stadium,75.87990761,22.72453422
Nobel Hostpital,75.88419914,22.7238217
Harijan Colony,75.88711739,22.72374253
Islamia Karima College,75.89097977,22.7265134
Shri Nagar Extension,75.89269638,22.72880922
Baikuntha Dham,75.89630127,22.72778006
"Palasia Square , indore",75.88695914,22.72379202
"Airport , aerodrum road , indore",75.80948353,22.72623632
"Kalani nagar , indore",75.82418472,22.72469503
"Bombay hospital ,  Vijay nagar , indore",75.90365052,22.75421895
"Geeta bhawan square , indore",75.8843061,22.7183611
"Chhatrapati Shivaji Square , indore",75.8830194,22.7113839
"Bangali square , indore",75.90619326,22.71988302
"Shiv shakti nagar , indore",75.91323137,22.71766623
"Uday nagar , indore",75.91061622,22.71729264
"Vaibhav nagar , indore",75.91644466,22.71916554
"Alok nagar , indore",75.92056453,22.72553865
"Manavta nagar , indore",75.92902422,22.72392066
"Bijli nagar , indore",75.91802716,22.7160333
"Mayur hospital , indore",75.9061034,22.7248088
"Khajrana ganesh mandir , indore",75.90821028,22.73112478
"Khajrana square , indore",75.90228796,22.73165419
"Utkarsh vihar , indore",75.90002418,22.72999669
"Shital nagar , indore",75.90100318,22.72860635
"manishpuri , indore",75.89949578,22.72572544
"shankar nagar , indore",75.89902639,22.72770584
"chandralok square , indore",75.89734197,22.72949202
"Paliwal nagar , indore",75.9025535,22.72689439
"Manbhavan nagar , indore",75.90547442,22.72248573
"Ambika nagar , indore",75.90861797,22.72271334
Telephone nagar chauraha,75.90369344,22.72062525
"Mahavir nagar , indore",75.90265274,22.71929914
"Gulmohar colony , indore",75.90097368,22.7219365
"Sanvid nagar , indore",75.89818954,22.722555
"Patrakar chauraha , indore",75.89493871,22.72303002
"Ravindra nagar , indore",75.89718103,22.72049659
"Tilak nagar , indore",75.89936972,22.71677554
"Sainath colony , indore",75.90108633,22.71622134
"Chameli park ,goyal nagar , indore",75.90483069,22.71593433
"Goyal nagar , indore",75.90515256,22.71787406
"Bakhtawar ram nagar , indore",75.89428425,22.71696358
"Lalaram nagar , indore",75.89586139,22.71638958
"Padmavati colony , indore",75.89311481,22.71304449
"Anup nagar , indore",75.89663923,22.73112231
"Shri nagar extension , indore",75.89566827,22.73079823
"Life care hospital , indore",75.89045405,22.73322262
"Apollo hospital , indore",75.88913441,22.73210444
"Hig colony , indore",75.89082956,22.73812073
"Christian eminent college , indore",75.89292169,22.73665626
"Ambedkar nagar , indore",75.88670969,22.73465744
"Old palasia , indore",75.88748217,22.72538527
"Saket square , indore",75.89460343,22.72546938
"Janjeerwala square , indore",75.88098049,22.72658267
"chappan , indore",75.88458538,22.72412848
"Usha raje stadium , indore",75.87983251,22.72423734
"Yashwant Club , indore",75.87691426,22.7240889
"SGSITS college , indore",75.87359905,22.72568215
"Lanturn Square , indore",75.87423205,22.72471234
"Kanchan Bagh , indore",75.88266492,22.72048175
"South tukoganj , indore",75.87726563,22.71819322
"Dhakkanwala kuwa chauraha , indore",75.87763309,22.71723078
"MGM , medical college , indore",75.87830901,22.71626092
Ratlam Kothi,75.88260055,22.71743861
"Vishesh hospital , indore",75.88440299,22.71645885
"Suyash hospital , indore",75.88403821,22.71387582
"Navratan Bagh , indore",75.88654876,22.71347995
"Robert nursing home , indore",75.88857651,22.71038222
"C R P Lines , indore",75.88063717,22.71570671
"Nehru stadium , indore",75.88142037,22.70965974
"Sanyogita ganj , indore",75.8852613,22.70884818
"Daly college , indore",75.89370489,22.70103913
"Income tax colony , indore",75.89152157,22.7046072
"Sanmati higher secondary school , indore",75.8806479,22.70214766
"Kamla nehru park , zoo , indore",75.8778584,22.70387973
"Radio colony , indore",75.88254958,22.70174434
"GPO square , indore",75.87895811,22.70721514
"Chhawani , indore",75.87561607,22.70871952
"P M B gujarati commerce college chhawani, indore",75.87123871,22.71197068
"Sarvate bus stand , indore",75.87123871,22.71395005
"Parsi Mohalla , indore",75.87774575,22.70878385
"Shankar Baug ,indore",75.87397456,22.70659162
"Agrasen square , indore",75.87312162,22.70366199
"Navlakha Bus Depot , indore",75.87652802,22.69944559
"Janki nagar , indore",75.87418377,22.6996386
Pragti vihar,75.92531204,22.70850178
Blue green,75.93338013,22.70723494
Sanjana Park,75.92114925,22.70086097
Shalimar palms,75.91823101,22.69599122
Akshar Dham,75.91698647,22.68886444
Sahara City Homes,75.92346668,22.68870606
Kalindi Mid town,75.92582703,22.68724106
Gurwa Nagar,75.92222214,22.68470697
Shiv Darshan Udyog Nagar,75.91784477,22.68526131
B R Goyal Plant,75.91441154,22.68490495
Sunidhi Garden,75.91741562,22.68248961
Udyog Nagar Industrial Area,75.90664387,22.68371708
Palda Industrial Area,75.8997345,22.68502374
Patther Mundala,75.89896202,22.68019302
Radha krushana vihar Colony,75.90518475,22.70941231
College of Agriculter Indore,75.89200974,22.7040084
Piplia Hana Nirmal Nagar 31,75.90108633,22.7077298
Nirmal Nagar,75.89883327,22.70792774
Krishi Mahavidyalay of Recidency Area,75.89748144,22.70563158
MP Police Indore Training Center,75.89314699,22.70646295
Medical Nagar Girls Hostel,75.88769674,22.70662131
Kendriy lok Nirman Vibhag Parisar,75.88668823,22.71123336
BSNL staff Quarters,75.887568,22.71396489
Kailash Park,75.88889837,22.7168943
Badi Gwal Toli,75.89108706,22.71934862
Manorama Ganj,75.89044333,22.72132788
New Patrakar Chowk,75.89424133,22.72277272
Shukla Nagar,75.88507891,22.72576131
Diamond Colony,75.88267565,22.72552381
Anil Nagar,75.88992834,22.73403403
life line Hospital,75.8906579,22.73316324
Sandhi colony,75.88958502,22.73051126
Pancham Ki fail,75.87969303,22.73080813
MIG Colony,75.87780476,22.73977319
Indra Chowk,75.88718176,22.74044604
Choti Kajarana,75.89153767,22.74135636
Anop Cinema Chauraha,75.88544369,22.74404771
Patni Pura Chowraha,75.88138819,22.7412772
Teen Pulia Chauraha,75.87565899,22.74412687
Nanda Nagar,75.87962866,22.74381024
Prakash Chandra Sethi Nagar,75.89299679,22.74384982
new Shital Nagar,75.89889765,22.74703584
Chitra Nagar,75.90250254,22.74828252
Kalpkam dHeno Nagar,75.90160131,22.74565062
Shri Ram Krishana Baug Colony,75.90512037,22.7442456
Mahesh Baug Colony,75.8986187,22.74309783
Barfani Nagar,75.8975029,22.74125741
Indore Kumar Khedi,75.91009855,22.74592766
Nyay Nagar Sector D,75.91398239,22.74626408
Dhiraj Nagar,75.90683699,22.74228646
Asha Nagar,75.90945482,22.74026793
Baba Farid Nagar,75.91207266,22.73779419
Guru Nagar,75.90215921,22.74001066
Ashrafi Nagar,75.92303753,22.74402792
Taj Nagar,75.91913223,22.74198962
MominPura,75.91999054,22.73844726
Sharafatali,75.92282295,22.73844726
Haroon Colony,75.9170723,22.73441005
Tanjeen nagar,75.91417551,22.73415278
Goya Khajarana Village,75.90767384,22.73557769
Dilip Nagar,75.91713667,22.7299769
Daudie Nagar,75.92048407,22.73053105
Morya hill,75.92363834,22.72449463
Mitra Vandhu Nagar,75.9135747,22.7265134
Suraj Nagar,75.92917442,22.72182269
Sarv Sappana Nagar,75.93054771,22.72091224
Vaibhav Nagar Extension,75.92061281,22.72083307
Shrikant palece,75.91501236,22.71905173
Kailash Puri,75.9120512,22.72291126
Devpuri,75.9098196,22.7225748
Haresh,75.9028244,22.72584048
ChandraLok Colony,75.89891911,22.7267509
Khajrana Lake,75.90353251,22.73280701
Sanjogpuri Colony,75.9008503,22.73567664
JagJiwan Ram Nagar,75.88958502,22.73830874
Firoz Gandhi Nagar,75.87156057,22.74189067
AyodhyaPuri,75.87158203,22.74305825
Shubhash Nagar,75.87196827,22.74016898
Sugani devi Girls Degree College,75.8730197,22.74483927
Clerk Colony,75.87269783,22.74808464
Malti Vanspati,75.85941553,22.74288014
Bhagirathpura,75.8621192,22.74416644
vila Place,75.82083464,22.73722028
Baba Murari Colony,75.81049204,22.73290596
Laxmi Puri,75.81373215,22.73092687
New Panchashila nagar,75.81592083,22.73041231
Paramhans nagar,75.81875324,75.81875324
DeepalPura,75.8211565,22.73361843
Venkatesh Vihar,75.82433224,22.73227266
Amar Kung Colony,75.82720757,22.73310387
Krishn bagh colony,75.83016872,22.73213412
Shramtive Hamal Nagar,75.83461046,22.73322262
Laxmi Nagar Anaj Mandi,75.83930969,22.73336115
Hope Textile miles,75.86514473,22.73185705
Rajkumar Mill Chauraha,75.87098122,22.72876963
Pantvadya,75.85780621,22.73094666
NilKanth Nagar,75.84999561,22.72801756
Brombag Colony,75.84222794,22.72841339
patel Nagar,75.8351469,22.72655298
Anjani Nagar,75.82690716,22.72734465
Shree Krishna Nagar,75.81849575,22.72742381
Airport Residential Colony,75.81459045,22.72643423
Sadar Bazar,75.84952354,22.72516756
Katiwala Tank,75.85840702,22.72267376
NayaPura,75.86608887,22.72548423
Jayshree nagar,75.81965446,22.71740892
jayBhavani Nagar,75.83029747,22.71915069
Cloth Market Girls College,75.84008217,22.71891318
North RajMohalla Garden,75.84360123,22.71693389
Lodhi pura,75.84810734,22.71443994
Khalsa College,75.83986759,22.71356902
NandLal Pura,75.86042404,22.71653803
College of Agriculter JawaharLal Neheru,75.8975029,22.70359271
Valmiki Nagar,75.86724758,22.70683905
Palsikar Colony  Chauraha,75.85965157,22.7080663
Katju Colony,75.85016727,22.70810589
Timber Market,75.83789349,22.7101249
Hariom Nagar,75.83282948,22.71202512
Rani Palace,75.82235813,22.71067913
Sirpur Kakad Banjarang Nagar,75.81737995,22.7094519
Nurani Nagar,75.81145763,22.70778918
Pipliya Jhagdu,75.74030399,22.70707658
Sinhasa,75.76974392,22.70260295
Shri ram Talawali,75.77236176,22.70137565
Ahmad Nagar,75.80416203,22.70434492
Nawda Panth,75.80068588,22.70256336
Mayur Nagar,75.80141544,22.70125688
Sirpur Jhil,75.81295967,22.70046506
Jawahar Takeri,75.79639435,22.69816877
Naredipata,75.78849792,22.69515978
Shahid Chandrashekhar Azad Chauhara,75.82669258,22.70798713
Government Girls College,75.85128307,22.70608685
Vasudev Nagar,75.85660458,22.70707658
Prem Nagar,75.85308552,22.70347394
LalBagh,75.8466053,22.70165278
Vrishi Palace,75.81737995,22.68906241
shudama Nagar Sector E,75.82690716,22.68870606
shudama Nagar Sector E,75.83334446,22.689102
Rushi Palace,75.81888199,22.69222991
Agrasen Dham,75.82725048,22.69230909
Prajapat Nagar,75.82235813,22.69662469
Modi Chauraha,75.83351612,22.69436793
Vishram Bagh,75.83377361,22.69919815
Dwarikpuri,75.82746506,22.70062342
Gumasta Nagar,75.83227158,22.70228623
Scheme No 71 B,75.8354044,22.70339476
Triveni Colony,75.84913731,22.70026711
Keshar Bagh,75.84330082,22.68834971
Choithram college of Nursing,75.85308552,22.68886444
Sadhu Vasvani Park,75.86681843,22.70192992
Janat Nagar,75.86596012,22.69610999
Agrawal Nagar,75.87265491,22.70097974
Vishnupuri NX,75.86166859,22.69076495
Indrapuri Colony,75.86720467,22.68850809
holker  Science College,75.87102413,22.69543692
University Innovative College,75.86999416,22.69298218
Devi Ahilya Vishwa vidyalya taksh,75.87299824,22.69096291
shivmoti Nagar,75.8784914,22.69127966
Kohinoor Colony,75.88707447,22.69139844
Sambad Nagar,75.88861942,22.69579325
Indore Residency Club,75.88252544,22.70145483
Aadivasi Bhilla Colony,75.89857578,22.69781245
Narmad pariyojna Office and Resi,75.89443445,22.6960902
Police Training School,75.90134382,22.69737694
District Jail,75.88943481,22.70111831
sliman line Quarters,75.88784695,22.70064322
DCBS Day college,75.89366198,22.70048486
Prakash Nagar,75.88181734,22.69610999
Bilawali,75.88909149,22.68050979
Maharaja Ranjit Singh College,75.8840704,22.6804702
IET College,75.87969303,22.68011382
Krishnaoday Nagar,75.87364197,22.67631248
Ghadvanala,75.88823318,22.67441177
Anand nagar,75.88372707,22.68819133
Nanak Nagar,75.86977959,22.68134132
Bholaram Nagar,75.86458683,22.68197486
Amitesh Nagar,75.85720539,22.68252921
Crystal IT Park,75.87213993,22.68526131
Dnyani Khalsa baug,75.85617542,22.68700349
Manik Bagh,75.85377216,22.68549888
LII Institute,75.85759163,22.68062858
Badri Nagar,75.84634781,22.68486536
Umesh Nagar,75.8396101,22.68173728
Neema,75.84467411,22.67837156
Basant Nagar,75.85046768,22.67789639
Mahaveer Nagar,75.85501671,22.67318421
Rajendra Nagar Naka,75.83664894,22.67223384
Dhanvantri Nagar,75.82935333,22.67425338
Shri Sukh Niwas Nagar,75.81810951,22.67674806
sukhniwas,75.80991268,22.67100626
Vidur Nagar Village,75.81381798,22.6804702
sukhniwas Jhil,75.80300331,22.66700666
Sahakar Nagar,75.81772327,22.66760067
Parmanu Nagar,75.81626415,22.66463061
HukmaKhedi,75.82978249,22.65861108
Vir Savarkar Nagar,75.82248688,22.66320496
Datta Nagar,75.82609177,22.66641265
Takshashila Parisar,75.8292675,22.66779867
Queens College,75.8835125,22.66903618
rani bag,75.87808371,22.66841248
Mundla Nayata,75.93483925,22.66680866
Dudhia,75.91758728,22.66653145
Ralamandal,75.9126091,22.66467021
Limbodi,75.89145184,22.66577904
Bilavali talab,75.87295532,22.65702696
BijalPur,75.82514763,22.65069026
Shri Gurukul Dham Yogashram,75.8082819,22.6543735
Machla,75.84737778,22.62736077
Harsola,75.84982395,22.62656853
Astral Inst and Tech and Research,75.85720539,22.6359365
Morod,75.88913441,22.6363524
Kalod Kartal,75.88269711,22.64474934
Ram Ji Vatika,75.89029312,22.64573951
Mirjapur,75.90569973,22.64724456
Bhangrah,75.8727622,22.76955354
HiraNagar,75.86992979,22.76808941
